CallerClass,CallerMethod,Permission
com/android/uiautomator/core/UiScrollable,getChildByText,android.permission.BACKUP
com/android/server/backup/Trampoline,getDestinationString,android.permission.BACKUP
com/android/server/backup/Trampoline,listAllTransports,android.permission.BACKUP
com/android/server/backup/Trampoline,selectBackupTransport,android.permission.BACKUP
com/android/server/backup/Trampoline,getDataManagementLabel,android.permission.BACKUP
com/android/server/backup/Trampoline,getCurrentTransport,android.permission.BACKUP
com/android/server/backup/Trampoline,acknowledgeFullBackupOrRestore,android.permission.BACKUP
com/android/uiautomator/core/UiScrollable,getChildByDescription,android.permission.BACKUP
com/android/server/SystemServiceManager,startBootPhase,android.permission.BACKUP
com/android/uiautomator/core/UiCollection,getChildCount,android.permission.BACKUP
com/android/server/backup/Trampoline,getDataManagementIntent,android.permission.BACKUP
com/android/uiautomator/core/UiObject,getChildCount,android.permission.BACKUP
com/android/uiautomator/core/UiScrollable,getChildByDescription,android.permission.BACKUP
com/android/uiautomator/core/UiScrollable,getChildByText,android.permission.BACKUP
com/android/uiautomator/core/UiAutomatorBridge,getRootInActiveWindow,android.permission.BACKUP
com/android/server/backup/BackupManagerService,fullBackup,android.permission.BACKUP
com/android/server/backup/BackupManagerService,beginRestoreSession,android.permission.BACKUP
com/android/server/backup/Trampoline,setBackupEnabled,android.permission.BACKUP
com/android/server/backup/BackupManagerService$Lifecycle,onBootPhase,android.permission.BACKUP
com/android/server/backup/BackupManagerService,backupNow,android.permission.BACKUP
com/android/server/backup/BackupManagerService,dataChanged,android.permission.BACKUP
com/android/server/backup/BackupManagerService,clearBackupData,android.permission.BACKUP
com/android/server/backup/Trampoline,setBackupServiceActive,android.permission.BACKUP
com/android/server/backup/Trampoline,dataChanged,android.permission.BACKUP
com/android/server/backup/Trampoline,initialize,android.permission.BACKUP
com/android/uiautomator/core/AccessibilityNodeInfoDumper,dumpWindowToFile,android.permission.BACKUP
com/android/server/ServiceThread,run,android.permission.BACKUP
com/android/server/backup/BackupManagerService,fullTransportBackup,android.permission.BACKUP
com/android/server/backup/BackupManagerService,fullRestore,android.permission.BACKUP
com/android/soundrecorder/Recorder,startPlayback,android.permission.BACKUP
com/android/server/am/ActivityManagerService,bootAnimationComplete,android.permission.BACKUP
com/android/uiautomator/core/AccessibilityNodeInfoDumper,dumpWindowToFile,android.permission.BACKUP
com/android/server/backup/Trampoline,clearBackupData,android.permission.BACKUP
com/android/server/backup/BackupManagerService,<init>,android.permission.BACKUP
com/android/uiautomator/core/UiDevice,dumpWindowHierarchy,android.permission.BACKUP
com/android/uiautomator/core/UiObject,pinchOut,android.permission.BACKUP
com/android/uiautomator/core/UiObject,pinchIn,android.permission.BACKUP
com/android/server/backup/BackupManagerService,getCurrentTransport,android.permission.BACKUP
com/android/server/backup/BackupManagerService,listAllTransports,android.permission.BACKUP
com/android/uiautomator/core/UiObject,getContentDescription,android.permission.BACKUP
com/android/uiautomator/core/UiObject,getClassName,android.permission.BACKUP
com/android/server/backup/BackupManagerService,hasBackupPassword,android.permission.BACKUP
com/android/uiautomator/core/UiObject,getText,android.permission.BACKUP
com/android/server/backup/BackupManagerService,selectBackupTransport,android.permission.BACKUP
com/android/uiautomator/core/UiObject,getBounds,android.permission.BACKUP
com/android/server/backup/BackupManagerService,getConfigurationIntent,android.permission.BACKUP
com/android/uiautomator/core/UiObject,clickBottomRight,android.permission.BACKUP
com/android/uiautomator/core/UiObject,exists,android.permission.BACKUP
com/android/uiautomator/core/UiObject,waitUntilGone,android.permission.BACKUP
com/android/uiautomator/core/UiDevice,waitForWindowUpdate,android.permission.BACKUP
com/android/uiautomator/core/UiObject,isClickable,android.permission.BACKUP
com/android/uiautomator/core/UiDevice,getCurrentPackageName,android.permission.BACKUP
com/android/uiautomator/core/UiObject,isEnabled,android.permission.BACKUP
com/android/server/backup/BackupManagerService,setBackupPassword,android.permission.BACKUP
com/android/uiautomator/core/UiObject,isCheckable,android.permission.BACKUP
com/android/uiautomator/core/UiObject,isFocused,android.permission.BACKUP
